Age Category,Sex,num,Year,Time
35,F,3,2016,15810
25,F,1,2016,14943
40,M,2,2016,17110
25,M,1,2016,18085
20,F,1,2016,18623
40,F,1,2016,14667
35,M,1,2016,13820
46,M,2,2010,12220
50,M,2,2016,11870
45,M,13,2005,10822
55,M,13,2015,12652
52,M,13,2012,12227
49,M,13,2009,11088
48,M,13,2008,10925
50,M,13,2010,11829
54,M,13,2014,13594
43,M,13,2003,11384
47,M,13,2007,11948
51,M,13,2011,11459
46,M,13,2006,10833
55,M,13,2016,12053
44,M,13,2004,10925
40,F,1,2016,18601
55,M,1,2016,16593
35,M,2,2016,17620
35,M,2,2015,20076
25,F,1,2016,20657
40,F,1,2016,14494
25,M,1,2016,16515
50,M,1,2016,16978
40,M,1,2016,16959
55,M,2,2016,15153
54,M,2,2014,17944
30,F,1,2016,18132
30,M,1,2016,12265
45,M,1,2016,19059
50,M,1,2016,20830
45,M,1,2016,14875
40,M,1,2016,16981
50,F,1,2016,16112
35,M,2,2016,13842
45,M,4,2016,13565
40,M,4,2015,14492
35,F,1,2016,17546
45,M,1,2016,16946
30,F,1,2016,15804
30,M,2,2016,10875
30,M,2,2015,10422
35,M,2,2015,12670
35,M,2,2016,13408
55,F,2,2016,20836
53,F,2,2014,22059
40,M,2,2016,13019
40,M,2,2015,13993
40,M,3,2016,12505
41,M,3,2014,15914
40,M,3,2015,12852
30,M,1,2016,11864
60,M,4,2016,17669
53,M,4,2009,13471
58,M,4,2014,14454
54,M,4,2010,14192
46,F,3,2014,19495
45,F,3,2016,17777
45,F,3,2015,17477
25,M,1,2016,16117
35,F,2,2016,14441
35,M,1,2016,11083
30,M,2,2016,12469
30,M,2,2014,12915
35,F,1,2016,17268
40,M,3,2016,21215
42,M,3,2014,22060
40,M,3,2015,20499
50,F,1,2016,20341
50,F,1,2016,17190
35,F,1,2016,18471
35,M,1,2016,15990
30,M,1,2016,16105
50,M,1,2016,18216
25,F,1,2016,13711
25,M,1,2016,14360
35,F,1,2016,17744
30,M,2,2016,13624
28,M,2,2014,14765
35,F,1,2016,20405
20,M,2,2016,14239
37,M,2,2010,14594
50,M,1,2016,18169
25,F,1,2016,16468
25,M,1,2016,15479
40,F,1,2016,25879
25,F,1,2016,14332
20,M,1,2016,14146
25,M,1,2016,12129
25,M,1,2016,20927
30,F,1,2016,17780
45,M,3,2016,16431
44,M,3,2014,16863
30,F,2,2016,16542
29,F,2,2014,15443
30,M,1,2016,14827
40,M,1,2016,12065
40,M,1,2016,16586
65,M,6,2014,16777
65,M,6,2015,16392
61,M,6,2010,13423
25,M,6,2016,14852
62,M,6,2012,18319
61,M,6,2011,18693
35,M,1,2016,17365
35,F,1,2016,22167
62,M,5,2014,21722
60,M,5,2015,22631
60,M,5,2012,20811
59,M,5,2011,18794
60,M,5,2016,20841
53,F,5,2014,14013
35,F,5,2016,19224
48,F,5,2009,14722
50,F,5,2011,13695
51,F,5,2012,14267
30,M,1,2016,20991
30,M,2,2015,22010
30,M,2,2016,22566
50,F,5,2016,17981
51,F,5,2014,18015
47,F,5,2011,16487
46,F,5,2010,18827
48,F,5,2012,16324
30,F,1,2016,21863
45,M,1,2016,13922
55,M,1,2016,18229
60,M,3,2015,25105
63,M,3,2014,24883
65,M,3,2016,24480
35,M,1,2016,10739
15,M,1,2016,19258
25,F,1,2016,19322
35,M,1,2016,16026
30,M,1,2016,12594
30,M,2,2015,15899
30,M,2,2016,17218
