Id,Age Category,Sex,Time,Year,ageFactor,day_no,temp,flu,num,sdTime,meanTime,ran_more_than_once
103,35,M,15134,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
104,30,M,16237,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
105,50,M,14283,2016,"[50,60)",24.0,54.0,1.85,3,113.0678262519154,14186.333333333334,1
105,50,M,14214,2014,"[50,60)",33.0,76.0,3.0,3,113.0678262519154,14186.333333333334,1
105,50,M,14062,2015,"[50,60)",25.0,60.0,1.9,3,113.0678262519154,14186.333333333334,1
106,45,M,19116,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
107,49,M,19318,2012,"[40,50)",29.0,72.0,1.1,2,1661.7009357883867,18143.0,1
107,50,M,16968,2016,"[50,60)",24.0,54.0,1.85,2,1661.7009357883867,18143.0,1
108,30,M,16056,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
109,30,M,13624,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
110,40,M,17384,2015,"[40,50)",25.0,60.0,1.9,2,359.9173516239527,17638.5,1
110,40,M,17893,2016,"[40,50)",24.0,54.0,1.85,2,359.9173516239527,17638.5,1
111,45,F,20831,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
112,25,F,17791,2016,"[20,30)",24.0,54.0,1.85,2,1047.9322497184635,17050.0,1
112,25,F,16309,2015,"[20,30)",25.0,60.0,1.9,2,1047.9322497184635,17050.0,1
113,30,F,15470,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
114,35,M,12667,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
115,55,M,15769,2016,"[50,60)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
116,25,F,15726,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
117,45,M,12067,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
118,35,M,14671,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
119,30,M,12582,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
120,40,M,17076,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
121,40,F,14682,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
122,15,F,16739,2016,"[10,20)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
123,38,M,13367,2006,"[30,40)",29.0,73.0,2.76,5,523.4114060660123,13518.0,1
123,45,M,14094,2016,"[40,50)",24.0,54.0,1.85,5,523.4114060660123,13518.0,1
123,39,M,13336,2007,"[30,40)",28.0,69.0,1.2,5,523.4114060660123,13518.0,1
123,42,M,13979,2010,"[40,50)",31.0,71.0,1.3,5,523.4114060660123,13518.0,1
123,45,M,12814,2015,"[40,50)",25.0,60.0,1.9,5,523.4114060660123,13518.0,1
124,30,F,14230,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
125,15,M,18599,2016,"[10,20)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
126,30,M,14399,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
127,35,M,13275,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
128,45,F,17073,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
129,25,M,20505,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
130,50,M,16020,2016,"[50,60)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
131,55,F,22184,2016,"[50,60)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
132,30,F,18581,2015,"[30,40)",25.0,60.0,1.9,2,470.2260094890541,18248.5,1
132,35,F,17916,2016,"[30,40)",24.0,54.0,1.85,2,470.2260094890541,18248.5,1
133,55,M,17867,2016,"[50,60)",24.0,54.0,1.85,2,289.9137802864845,18072.0,1
133,55,M,18277,2015,"[50,60)",25.0,60.0,1.9,2,289.9137802864845,18072.0,1
134,30,M,14488,2015,"[30,40)",25.0,60.0,1.9,2,313.9554108468271,14266.0,1
134,35,M,14044,2016,"[30,40)",24.0,54.0,1.85,2,313.9554108468271,14266.0,1
135,50,M,15206,2016,"[50,60)",24.0,54.0,1.85,2,552.2503961066936,15596.5,1
135,50,M,15987,2015,"[50,60)",25.0,60.0,1.9,2,552.2503961066936,15596.5,1
136,45,M,16125,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
137,34,F,16468,2011,"[30,40)",30.0,63.0,4.0,2,838.6286424872453,15875.0,1
137,35,F,15282,2016,"[30,40)",24.0,54.0,1.85,2,838.6286424872453,15875.0,1
138,50,F,17508,2015,"[50,60)",25.0,60.0,1.9,3,1058.5409770056142,16320.0,1
138,50,F,15975,2014,"[50,60)",33.0,76.0,3.0,3,1058.5409770056142,16320.0,1
138,50,F,15477,2016,"[50,60)",24.0,54.0,1.85,3,1058.5409770056142,16320.0,1
139,40,F,13615,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
140,40,M,14169,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
141,30,F,15198,2015,"[30,40)",25.0,60.0,1.9,4,3432.36347142898,19281.5,1
141,30,F,17808,2016,"[30,40)",24.0,54.0,1.85,4,3432.36347142898,19281.5,1
141,25,F,22787,2010,"[20,30)",31.0,71.0,1.3,4,3432.36347142898,19281.5,1
141,29,F,21333,2014,"[20,30)",33.0,76.0,3.0,4,3432.36347142898,19281.5,1
142,35,M,12165,2016,"[30,40)",24.0,54.0,1.85,2,171.82694782833104,12286.5,1
142,33,M,12408,2014,"[30,40)",33.0,76.0,3.0,2,171.82694782833104,12286.5,1
143,40,F,14026,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
144,39,M,16953,2014,"[30,40)",33.0,76.0,3.0,3,584.9378884405876,16288.333333333334,1
144,40,M,15852,2015,"[40,50)",25.0,60.0,1.9,3,584.9378884405876,16288.333333333334,1
144,40,M,16060,2016,"[40,50)",24.0,54.0,1.85,3,584.9378884405876,16288.333333333334,1
145,41,F,17041,2011,"[40,50)",30.0,63.0,4.0,4,616.8889689401165,17185.0,1
145,45,F,17535,2016,"[40,50)",24.0,54.0,1.85,4,616.8889689401165,17185.0,1
145,42,F,16383,2012,"[40,50)",29.0,72.0,1.1,4,616.8889689401165,17185.0,1
145,40,F,17781,2010,"[40,50)",31.0,71.0,1.3,4,616.8889689401165,17185.0,1
146,35,F,18688,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
147,20,M,18334,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
148,30,M,12593,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
149,20,F,18601,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
150,25,F,22768,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
151,50,M,15291,2016,"[50,60)",24.0,54.0,1.85,5,840.8542085284464,15670.4,1
151,50,M,15413,2012,"[50,60)",29.0,72.0,1.1,5,840.8542085284464,15670.4,1
151,49,M,15705,2011,"[40,50)",30.0,63.0,4.0,5,840.8542085284464,15670.4,1
151,50,M,14868,2015,"[50,60)",25.0,60.0,1.9,5,840.8542085284464,15670.4,1
151,48,M,17075,2010,"[40,50)",31.0,71.0,1.3,5,840.8542085284464,15670.4,1
152,40,M,16147,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
153,30,M,17822,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
154,35,F,16699,2016,"[30,40)",24.0,54.0,1.85,2,935.5022715098024,17360.5,1
154,35,F,18022,2015,"[30,40)",25.0,60.0,1.9,2,935.5022715098024,17360.5,1
155,25,F,13117,2016,"[20,30)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
156,40,F,16865,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
157,35,M,11634,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
158,41,M,17385,2010,"[40,50)",31.0,71.0,1.3,4,971.5398430670081,16291.5,1
158,42,M,15916,2011,"[40,50)",30.0,63.0,4.0,4,971.5398430670081,16291.5,1
158,45,M,15146,2016,"[40,50)",24.0,54.0,1.85,4,971.5398430670081,16291.5,1
158,45,M,16719,2014,"[40,50)",33.0,76.0,3.0,4,971.5398430670081,16291.5,1
159,50,M,17775,2016,"[50,60)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
160,45,M,14634,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
161,35,M,18895,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
162,30,F,13550,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
163,57,M,17512,2011,"[50,60)",30.0,63.0,4.0,7,1520.2594546733822,17653.85714285714,1
163,60,M,18091,2016,"[60,70)",24.0,54.0,1.85,7,1520.2594546733822,17653.85714285714,1
163,54,M,18716,2008,"[50,60)",27.0,68.0,0.79,7,1520.2594546733822,17653.85714285714,1
163,60,M,17673,2015,"[60,70)",25.0,60.0,1.9,7,1520.2594546733822,17653.85714285714,1
163,56,M,15809,2010,"[50,60)",31.0,71.0,1.3,7,1520.2594546733822,17653.85714285714,1
163,60,M,20011,2014,"[60,70)",33.0,76.0,3.0,7,1520.2594546733822,17653.85714285714,1
